stream,baseline,candidate,candidate_label,metric,source_metric,transform,n_seeds_declared,n_pairs,n_skipped,baseline_mean_paired,candidate_mean_paired,mean_diff,median_diff,sd_diff,min_diff,max_diff,n_positive,n_negative,n_zero,ci_lo,ci_hi,ci_method,bootstrap_resamples,bootstrap_seed,note
synb2b,M5_legacy,M0,STATIC,bias_ratio_warm,bias_ratio_warm,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'bias_ratio_warm' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,bias_ratio_warm_abs_dev_from_target,bias_ratio_warm,abs(x - 1),20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'bias_ratio_warm' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,for_overall,for_overall,identity,20,20,0,0.02067945892408591,0.02480925780781156,0.004129798883725649,0.004089251899444269,0.0005112383668323583,0.003457526990923835,0.0049972381812079004,20,0,0,0.003915567563358404,0.00434096179520545,95% percentile bootstrap over seed-level differences,10000,3328074224,
synb2b,M5_legacy,M0,STATIC,quiet_for,quiet_for,identity,20,20,0,0.012421094677870404,0.017366455686446795,0.00494536100857639,0.004925513315032829,0.0006090585175416685,0.0040353732221093085,0.00623285615948233,20,0,0,0.004696366126062084,0.0052077452700367444,95% percentile bootstrap over seed-level differences,10000,899978636,
synb2b,M5_legacy,M0,STATIC,flag_precision,flag_precision,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'flag_precision' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,flag_recall,flag_recall,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'flag_recall' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,flag_balanced_acc,flag_balanced_acc,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'flag_balanced_acc' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,review_demand_rate,review_demand_rate,identity,20,20,0,0.022866875000000002,0.048678125,0.02581125,0.022975000000000002,0.013617255102007815,0.011949999999999999,0.07126249999999999,20,0,0,0.02062175,0.032285765625,95% percentile bootstrap over seed-level differences,10000,245062473,
synb2b,M5_legacy,M0,STATIC,review_served_rate,review_served_rate,identity,20,20,0,0.018475625000000002,0.0199725,0.0014968750000000004,0.0014125000000000006,0.0007209149317470056,0.00021250000000000088,0.003612500000000001,20,0,0,0.001205625,0.001830640625,95% percentile bootstrap over seed-level differences,10000,2388011817,
synb2b,M5_legacy,M0,STATIC,block_rate,block_rate,identity,20,20,0,0.027344374999999997,0.000655,-0.026689374999999998,-0.02675,0.0059122215008960794,-0.0395625,-0.01745,0,20,0,-0.029241296874999996,-0.024209265625,95% percentile bootstrap over seed-level differences,10000,741308721,
synb2b,M5_legacy,M0,STATIC,cost_per_1k,cost_per_1k,identity,20,20,0,173129.1093129735,226217.73778411723,53088.628471143704,50879.06819623282,6789.398208077118,43764.3081290173,70037.61584848128,20,0,0,50321.624481243554,56191.422159981026,95% percentile bootstrap over seed-level differences,10000,3319095362,
synb2b,M5_legacy,M0,STATIC,pd_mae_mean,pd_mae_mean,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'pd_mae_mean' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,ess_median,ess_median,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'ess_median' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,cohort_gap_days_mean,cohort_gap_days_mean,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M0: per_seed unavailable for 'cohort_gap_days_mean' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M0,STATIC,infeasible_rate,infeasible_rate,identity,20,20,0,0.32125,0.0,-0.32125,-0.32343750000000004,0.048872989257332806,-0.40625,-0.234375,0,20,0,-0.34203125,-0.30046875,95% percentile bootstrap over seed-level differences,10000,1662357725,
synb2b,M5_legacy,M1,CONF-FIXED,bias_ratio_warm,bias_ratio_warm,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'bias_ratio_warm' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,bias_ratio_warm_abs_dev_from_target,bias_ratio_warm,abs(x - 1),20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'bias_ratio_warm' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,for_overall,for_overall,identity,20,20,0,0.02067945892408591,0.02480925780781156,0.004129798883725649,0.004089251899444269,0.0005112383668323583,0.003457526990923835,0.0049972381812079004,20,0,0,0.00391678927143985,0.0043501961148837524,95% percentile bootstrap over seed-level differences,10000,466434157,
synb2b,M5_legacy,M1,CONF-FIXED,quiet_for,quiet_for,identity,20,20,0,0.012421094677870404,0.017366455686446795,0.00494536100857639,0.004925513315032829,0.0006090585175416685,0.0040353732221093085,0.00623285615948233,20,0,0,0.004687713592209832,0.005211353728070272,95% percentile bootstrap over seed-level differences,10000,4096740172,
synb2b,M5_legacy,M1,CONF-FIXED,flag_precision,flag_precision,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'flag_precision' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,flag_recall,flag_recall,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'flag_recall' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,flag_balanced_acc,flag_balanced_acc,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'flag_balanced_acc' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,review_demand_rate,review_demand_rate,identity,20,20,0,0.022866875000000002,0.048678125,0.02581125,0.022975000000000002,0.013617255102007815,0.011949999999999999,0.07126249999999999,20,0,0,0.020673,0.032391265625,95% percentile bootstrap over seed-level differences,10000,1811948035,
synb2b,M5_legacy,M1,CONF-FIXED,review_served_rate,review_served_rate,identity,20,20,0,0.018475625000000002,0.0199725,0.0014968750000000004,0.0014125000000000006,0.0007209149317470056,0.00021250000000000088,0.003612500000000001,20,0,0,0.0012043750000000002,0.0018256250000000002,95% percentile bootstrap over seed-level differences,10000,3946140131,
synb2b,M5_legacy,M1,CONF-FIXED,block_rate,block_rate,identity,20,20,0,0.027344374999999997,0.000655,-0.026689374999999998,-0.02675,0.0059122215008960794,-0.0395625,-0.01745,0,20,0,-0.02927878125,-0.024252390625000002,95% percentile bootstrap over seed-level differences,10000,3079451906,
synb2b,M5_legacy,M1,CONF-FIXED,cost_per_1k,cost_per_1k,identity,20,20,0,173129.1093129735,226217.73778411723,53088.628471143704,50879.06819623282,6789.398208077118,43764.3081290173,70037.61584848128,20,0,0,50405.98005331471,56192.12326810714,95% percentile bootstrap over seed-level differences,10000,407275207,
synb2b,M5_legacy,M1,CONF-FIXED,pd_mae_mean,pd_mae_mean,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'pd_mae_mean' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,ess_median,ess_median,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'ess_median' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,cohort_gap_days_mean,cohort_gap_days_mean,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M1: per_seed unavailable for 'cohort_gap_days_mean' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M1,CONF-FIXED,infeasible_rate,infeasible_rate,identity,20,20,0,0.32125,0.0,-0.32125,-0.32343750000000004,0.048872989257332806,-0.40625,-0.234375,0,20,0,-0.34265625,-0.30046875,95% percentile bootstrap over seed-level differences,10000,3837025178,
synb2b,M5_legacy,M2,COST-THRESH,bias_ratio_warm,bias_ratio_warm,identity,20,20,0,0.8773186242408733,0.11626391830846872,-0.7610547059324044,-0.7500280878600478,0.05286731343988211,-0.8935065305508532,-0.6850358967540644,0,20,0,-0.7847499604387302,-0.7397719406861281,95% percentile bootstrap over seed-level differences,10000,2590703731,
synb2b,M5_legacy,M2,COST-THRESH,bias_ratio_warm_abs_dev_from_target,bias_ratio_warm,abs(x - 1),20,20,0,0.12474184814525571,0.8837360816915313,0.7589942335462756,0.7500280878600478,0.04801363750591348,0.6850358967540644,0.8522970828282757,20,0,0,0.7388080459243227,0.7801014800037521,95% percentile bootstrap over seed-level differences,10000,76522329,
synb2b,M5_legacy,M2,COST-THRESH,for_overall,for_overall,identity,20,20,0,0.02067945892408591,0.01947181219053194,-0.001207646733553969,-0.0012142813305535804,0.00035845173800148997,-0.0020725464993034404,-0.00043948998025333114,0,20,0,-0.0013658445165788784,-0.0010557186428318056,95% percentile bootstrap over seed-level differences,10000,2785219879,
synb2b,M5_legacy,M2,COST-THRESH,quiet_for,quiet_for,identity,20,20,0,0.012421094677870404,0.011243097275824726,-0.001177997402045678,-0.0012133177491031322,0.0003691189423243664,-0.0019071282451412937,-0.0006421339451112718,0,20,0,-0.0013363275283310716,-0.0010259437520403216,95% percentile bootstrap over seed-level differences,10000,1842408781,
synb2b,M5_legacy,M2,COST-THRESH,flag_precision,flag_precision,identity,20,20,0,0.9237710499748211,0.3748860060026156,-0.5488850439722054,-0.5892720556279878,0.10503990000667747,-0.6351351351351351,-0.2816053511705686,0,20,0,-0.5905143617080321,-0.5012469808659296,95% percentile bootstrap over seed-level differences,10000,2260552870,
synb2b,M5_legacy,M2,COST-THRESH,flag_recall,flag_recall,identity,20,20,0,0.8399318713526451,0.9990867389491243,0.1591548675964791,0.14838266707354286,0.06427948107169203,0.0636363636363636,0.3090075062552128,20,0,0,0.13218363353855225,0.18702297927486822,95% percentile bootstrap over seed-level differences,10000,1426476646,
synb2b,M5_legacy,M2,COST-THRESH,flag_balanced_acc,flag_balanced_acc,identity,20,20,0,0.8979726050187642,0.5588875102520244,-0.3390850947667396,-0.34144548215775256,0.04515920490421777,-0.41367944851357186,-0.2292207792207792,0,20,0,-0.357787033486256,-0.3195070855965201,95% percentile bootstrap over seed-level differences,10000,3584035523,
synb2b,M5_legacy,M2,COST-THRESH,review_demand_rate,review_demand_rate,identity,20,20,0,0.022866875000000002,0.0246925,0.0018256250000000002,0.0015562499999999986,0.0009036428013878049,0.0007999999999999986,0.003974999999999999,20,0,0,0.0014562343749999994,0.0022299999999999998,95% percentile bootstrap over seed-level differences,10000,3294162125,
synb2b,M5_legacy,M2,COST-THRESH,review_served_rate,review_served_rate,identity,20,20,0,0.018475625000000002,0.019450000000000002,0.0009743750000000002,0.0008062500000000014,0.000500221579192135,0.00013749999999999873,0.0018750000000000017,20,0,0,0.0007656250000000004,0.00119375,95% percentile bootstrap over seed-level differences,10000,1151081645,
synb2b,M5_legacy,M2,COST-THRESH,block_rate,block_rate,identity,20,20,0,0.027344374999999997,0.087871875,0.0605275,0.0598375,0.005220754381867575,0.052849999999999994,0.0704375,20,0,0,0.058358093750000006,0.062778140625,95% percentile bootstrap over seed-level differences,10000,3222726322,
synb2b,M5_legacy,M2,COST-THRESH,cost_per_1k,cost_per_1k,identity,20,20,0,173129.1093129735,160220.64599699326,-12908.463315980252,-12929.107600504212,2809.333649067883,-19610.70715137574,-6980.2986768043775,0,20,0,-14156.9709594386,-11751.552469195678,95% percentile bootstrap over seed-level differences,10000,2777721613,
synb2b,M5_legacy,M2,COST-THRESH,pd_mae_mean,pd_mae_mean,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M2: per_seed unavailable for 'pd_mae_mean' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M2,COST-THRESH,ess_median,ess_median,identity,20,20,0,37107.951274830106,930.1846966413179,-36177.766578188784,-36280.94491604253,339.46734322593073,-36556.82138568093,-35459.479169999555,0,20,0,-36317.63811072269,-36025.52512942541,95% percentile bootstrap over seed-level differences,10000,4088086264,
synb2b,M5_legacy,M2,COST-THRESH,cohort_gap_days_mean,cohort_gap_days_mean,identity,20,0,,,,,,,,,,,,,,,,,per_seed unavailable -- no paired difference computed (candidate M2: per_seed unavailable for 'cohort_gap_days_mean' (n=0)). Not backfilled with a difference of means.
synb2b,M5_legacy,M2,COST-THRESH,infeasible_rate,infeasible_rate,identity,20,20,0,0.32125,0.9220312500000001,0.60078125,0.6046874999999999,0.043865859278000796,0.525,0.690625,20,0,0,0.5818749999999999,0.62015625,95% percentile bootstrap over seed-level differences,10000,3072983326,
synb2b,M5_legacy,M3,ACI-BUDGET,bias_ratio_warm,bias_ratio_warm,identity,20,20,0,0.8773186242408733,0.08884446517566327,-0.7884741590652099,-0.7803372579553407,0.0576634078312512,-0.9303032644438762,-0.700112092361387,0,20,0,-0.8139377433809205,-0.7649454275247023,95% percentile bootstrap over seed-level differences,10000,500222900,
synb2b,M5_legacy,M3,ACI-BUDGET,bias_ratio_warm_abs_dev_from_target,bias_ratio_warm,abs(x - 1),20,20,0,0.12474184814525571,0.9111555348243368,0.786413686679081,0.7803372579553407,0.05286537663915098,0.7001120923613872,0.8890938167212987,20,0,0,0.7639836608819168,0.809133801373123,95% percentile bootstrap over seed-level differences,10000,2222962250,
synb2b,M5_legacy,M3,ACI-BUDGET,for_overall,for_overall,identity,20,20,0,0.02067945892408591,0.019971830775161143,-0.0007076281489247658,-0.0006779174914239086,0.0002457810130325126,-0.001248586614534343,-0.00032589485260922993,0,20,0,-0.0008144788861498606,-0.0006046461320873126,95% percentile bootstrap over seed-level differences,10000,2073611682,
